key,name,iata-code,website,airline-type,foundation-moment,email,phone-number
#airline-type - no singular values
#foundation-moment - standard variations
airline-41,Lorem ipsum dolor sit ame,BPX,https://www.acmeairlines.com,STANDARD,2012/07/02 00:00,acme@lorem-ipsum.org,+1234567890
airline-42,Lorem ipsum dolor sit ame,BQX,https://www.acmeairlines.com,STANDARD,2000/01/01 00:00,acme@lorem-ipsum.org,+1234567890
airline-43,Lorem ipsum dolor sit ame,BRX,https://www.acmeairlines.com,STANDARD,2000/01/01 00:01,acme@lorem-ipsum.org,+1234567890
airline-44,Lorem ipsum dolor sit ame,BSX,https://www.acmeairlines.com,STANDARD,2025/01/01 00:00,acme@lorem-ipsum.org,+1234567890
airline-45,Lorem ipsum dolor sit ame,BTX,https://www.acmeairlines.com,STANDARD,2024/12/31 23:59,acme@lorem-ipsum.org,+1234567890
#foundation-moment - no singular values
#email - standard variations
airline-46,Lorem ipsum dolor sit ame,BUX,https://www.acmeairlines.com,STANDARD,2012/07/02 00:00,acme@lorem-ipsum.org,+1234567890
airline-47,Lorem ipsum dolor sit ame,BVX,https://www.acmeairlines.com,STANDARD,2012/07/02 00:00,acmeword@lorem-ipsum.org,+1234567890
airline-48,Lorem ipsum dolor sit ame,BWX,https://www.acmeairlines.com,STANDARD,2012/07/02 00:00,acme@acme.e,+1234567890
airline-49,Lorem ipsum dolor sit ame,BXX,https://www.acmeairlines.com,STANDARD,2012/07/02 00:00,acme@acme.es,+1234567890
airline-50,Lorem ipsum dolor sit ame,BYX,https://www.acmeairlines.com,STANDARD,2012/07/02 00:00,acme@acme.esx,+1234567890
airline-51,Lorem ipsum dolor sit ame,BZX,https://www.acmeairlines.com,STANDARD,2012/07/02 00:00,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.doloris.edu,+1234567890
airline-52,Lorem ipsum dolor sit ame,CAX,https://www.acmeairlines.com,STANDARD,2012/07/02 00:00,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolor.es.org,+1234567890
#email - no singular values
#phone-number - standard variations
airline-53,Lorem ipsum dolor sit ame,CBX,https://www.acmeairlines.com,STANDARD,2012/07/02 00:00,acme@lorem-ipsum.org,+1234567890
airline-54,Lorem ipsum dolor sit ame,CCX,https://www.acmeairlines.com,STANDARD,2012/07/02 00:00,acme@lorem-ipsum.org,12345678990
airline-55,Lorem ipsum dolor sit ame,CDX,https://www.acmeairlines.com,STANDARD,2012/07/02 00:00,acme@lorem-ipsum.org,+123456
airline-56,Lorem ipsum dolor sit ame,CEX,https://www.acmeairlines.com,STANDARD,2012/07/02 00:00,acme@lorem-ipsum.org,+12345678901234
airline-57,Lorem ipsum dolor sit ame,CFX,https://www.acmeairlines.com,STANDARD,2012/07/02 00:00,acme@lorem-ipsum.org,123456
airline-58,Lorem ipsum dolor sit ame,CGX,https://www.acmeairlines.com,STANDARD,2012/07/02 00:00,acme@lorem-ipsum.org,12345678901234
#phone-number - no singular values
