key,name,momentPosted,subject,text,score,recommended
review-09,"<script>alert(‘Hacked!’);</script>",2012/07/02 00:00,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5.00,true
review-10,"'' or 'A' = 'A",2012/07/02 00:00,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5.00,true
# name - no singular values
# momentPosted - standard variations
review-11,"Lorem ipsum dolor sit ame",2000/01/01 00:00,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5.00,true
review-12,"Lorem ipsum dolor sit ame",2000/01/01 00:01,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5.00,true
review-13,"Lorem ipsum dolor sit ame",2024/12/31 23:59,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5.00,true
review-14,"Lorem ipsum dolor sit ame",2025/01/01 00:00,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5.00,true
#momentPosted - no singular values
# subject - standard variations
review-15,"Lorem ipsum dolor sit ame",2012/07/02 00:00,"L","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5.00,true
review-16,"Lorem ipsum dolor sit ame",2012/07/02 00:00,"Lo","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5.00,true
review-17,"Lorem ipsum dolor sit ame",2012/07/02 00:00,"Lorem ipsum dolor sit amet, consectetur adipiscin","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5.00,true
review-18,"Lorem ipsum dolor sit ame",2012/07/02 00:00,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5.00,true
review-19,"Lorem ipsum dolor sit ame",2012/07/02 00:00,"โลเร็ม อิปซัม","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5.00,true
review-20,"Lorem ipsum dolor sit ame",2012/07/02 00:00,"لوريم إيبسوم","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5.00,true
review-21,"Lorem ipsum dolor sit ame",2012/07/02 00:00,"洛伦·伊普森","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5.00,true
review-22,"Lorem ipsum dolor sit ame",2012/07/02 00:00,"<marquee>Hacked</marquee>","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5.00,true
review-23,"Lorem ipsum dolor sit ame",2012/07/02 00:00,"<script>alert(‘Hacked!’);</script>","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5.00,true
review-24,"Lorem ipsum dolor sit ame",2012/07/02 00:00,"'' or 'A' = 'A","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5.00,true
# subject - no singular values
# text - standard variations
review-25,"Lorem ipsum dolor sit ame",2012/07/02 00:00,"Lorem ipsum dolor sit ame","L",5.00,true
review-26,"Lorem ipsum dolor sit ame",2012/07/02 00:00,"Lorem ipsum dolor sit ame","Lo",5.00,true
review-27,"Lorem ipsum dolor sit ame",2012/07/02 00:00,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor",5.00,true
review-28,"Lorem ipsum dolor sit ame",2012/07/02 00:00,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*",5.00,true
review-29,"Lorem ipsum dolor sit ame",2012/07/02 00:00,"Lorem ipsum dolor sit ame","โลเร็ม อิปซัม",5.00,true
review-30,"Lorem ipsum dolor sit ame",2012/07/02 00:00,"Lorem ipsum dolor sit ame","لوريم إيبسوم",5.00,true
review-31,"Lorem ipsum dolor sit ame",2012/07/02 00:00,"Lorem ipsum dolor sit ame","洛伦·伊普森",5.00,true
review-32,"Lorem ipsum dolor sit ame",2012/07/02 00:00,"Lorem ipsum dolor sit ame","<marquee>Hacked</marquee>",5.00,true
review-33,"Lorem ipsum dolor sit ame",2012/07/02 00:00,"Lorem ipsum dolor sit ame","<script>alert(‘Hacked!’);</script>",5.00,true
review-34,"Lorem ipsum dolor sit ame",2012/07/02 00:00,"Lorem ipsum dolor sit ame","'' or 'A' = 'A",5.00,true
# text - no singular values
# score - standard variations
review-35,"Lorem ipsum dolor sit ame",2012/07/02 00:00,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",0.00,true
review-36,"Lorem ipsum dolor sit ame",2012/07/02 00:00,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",0.01,true
review-37,"Lorem ipsum dolor sit ame",2012/07/02 00:00,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",9.99,true
review-38,"Lorem ipsum dolor sit ame",2012/07/02 00:00,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",10.00,true
# score - no singular values
# recommended - standard variations
review-39,"Lorem ipsum dolor sit ame",2012/07/02 00:00,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5.00,null
review-40,"Lorem ipsum dolor sit ame",2012/07/02 00:00,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5.00,true
review-41,"Lorem ipsum dolor sit ame",2012/07/02 00:00,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5.00,false
# recommended - no singular values
